Terminal log file
Date: 31.07.2023 - 13:07:38
-----------------------------------------------
13:08:13.734> 
Stepper motor with reduction!!! (1/6)13:08:13.734> 
13:08:13.734> 
Total rotation time 97.5 minutes13:08:14.077> 
Time while sunlit 54.5 minutes13:08:14.077> 
Time in shadow 43 minutes13:08:14.077> 
13:08:14.077> 
Rotation angle 20113:08:14.077> 
Motor step 0.05 degrees13:08:14.077> 
Stepper motor should make 13440 steps13:08:14.077> 
The sunlit side lasts 3270 seconds13:08:14.077> 
One step in 243304 microseconds13:08:14.077> 
Total time of orbit 585013:08:14.077> 
13:08:14.077> 
**********************************13:08:14.077> 
13:08:14.077> 
The current angle is:;  90.42;  Step number is:;  6027;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:32:48.991> 
The current angle is:;  91.03;  Step number is:;  6068;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:32:58.996> 
The current angle is:;  91.65;  Step number is:;  6109;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:33:08.992> 
The current angle is:;  92.26;  Step number is:;  6150;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:33:19.010> 
The current angle is:;  92.88;  Step number is:;  6191;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:33:29.007> 
The current angle is:;  93.49;  Step number is:;  6232;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:33:39.002> 
The current angle is:;  94.11;  Step number is:;  6273;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:33:48.983> 
The current angle is:;  94.72;  Step number is:;  6314;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:33:58.987> 
The current angle is:;  95.34;  Step number is:;  6355;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:34:08.986> 
The current angle is:;  95.95;  Step number is:;  6396;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:34:19.001> 
The current angle is:;  96.57;  Step number is:;  6437;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:34:29.020> 
The current angle is:;  97.18;  Step number is:;  6478;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:34:38.975> 
The current angle is:;  97.80;  Step number is:;  6519;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:34:48.975> 
The current angle is:;  98.41;  Step number is:;  6560;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:34:59.005> 
The current angle is:;  99.03;  Step number is:;  6601;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:35:08.985> 
The current angle is:;  99.64;  Step number is:;  6642;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:35:18.986> 
The current angle is:;  100.26;  Step number is:;  6683;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:35:28.978> 
The current angle is:;  100.87;  Step number is:;  6724;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:35:38.968> 
The current angle is:;  101.49;  Step number is:;  6765;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:35:49.008> 
The current angle is:;  102.10;  Step number is:;  6806;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:35:59.024> 
The current angle is:;  102.72;  Step number is:;  6847;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:36:08.963> 
The current angle is:;  103.33;  Step number is:;  6888;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:36:18.955> 
The current angle is:;  103.95;  Step number is:;  6929;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:36:28.988> 
The current angle is:;  104.56;  Step number is:;  6970;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:36:39.008> 
The current angle is:;  105.18;  Step number is:;  7011;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:36:49.009> 
The current angle is:;  105.79;  Step number is:;  7052;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:36:59.006> 
The current angle is:;  106.41;  Step number is:;  7093;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:37:09.004> 
The current angle is:;  107.02;  Step number is:;  7134;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:37:18.964> 
The current angle is:;  107.64;  Step number is:;  7175;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:37:28.956> 
The current angle is:;  108.25;  Step number is:;  7216;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:37:38.975> 
The current angle is:;  108.87;  Step number is:;  7257;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:37:48.969> 
The current angle is:;  109.48;  Step number is:;  7298;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:37:58.976> 
The current angle is:;  110.10;  Step number is:;  7339;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:38:08.970> 
The current angle is:;  110.71;  Step number is:;  7380;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:38:18.957> 
The current angle is:;  111.33;  Step number is:;  7421;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:38:28.971> 
The current angle is:;  111.94;  Step number is:;  7462;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:38:38.988> 
The current angle is:;  112.56;  Step number is:;  7503;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:38:48.949> 
The current angle is:;  113.17;  Step number is:;  7544;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:38:58.956> 
The current angle is:;  113.79;  Step number is:;  7585;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:39:08.964> 
The current angle is:;  114.40;  Step number is:;  7626;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:39:18.963> 
The current angle is:;  115.02;  Step number is:;  7667;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:39:28.983> 
The current angle is:;  115.63;  Step number is:;  7708;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:39:38.993> 
The current angle is:;  116.25;  Step number is:;  7749;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:39:48.982> 
The current angle is:;  116.86;  Step number is:;  7790;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:39:58.995> 
